ProjectID,MonthStart,BudgetEUR,ActualEUR,CommittedEUR,EAC_EUR,CostDriver,Currency
PRJ00001,2025-05-01,746,987,9126040,14048648,Productivity Delay,EUR
PRJ00001,2025-06-01,26799,21266,7811177,14101438,Productivity Delay,EUR
PRJ00001,2025-07-01,85520,57818,7827238,14009997,Productivity Delay,EUR
PRJ00001,2025-08-01,170708,216378,5501215,14779292,Productivity Delay,EUR
PRJ00001,2025-09-01,276164,153261,7561316,14065078,Productivity Delay,EUR
PRJ00001,2025-10-01,395686,558483,9432696,13908413,Productivity Delay,EUR
PRJ00001,2025-11-01,523075,391446,5359026,13374812,Productivity Delay,EUR
PRJ00001,2025-12-01,652130,700107,8418423,13583749,Productivity Delay,EUR
PRJ00001,2026-01-01,776651,588385,6007898,13823295,Productivity Delay,EUR
PRJ00001,2026-02-01,890437,938349,6098808,13402267,Productivity Delay,EUR
PRJ00001,2026-03-01,987289,885426,4407649,13226259,Productivity Delay,EUR
PRJ00001,2026-04-01,1061004,807572,3425557,13112232,Productivity Delay,EUR
PRJ00001,2026-05-01,1105384,639504,4020505,11754149,Productivity Delay,EUR
PRJ00001,2026-06-01,1114228,992794,2670184,11829760,Productivity Delay,EUR
PRJ00001,2026-07-01,1081335,1286426,3426351,11901699,Productivity Delay,EUR
PRJ00001,2026-08-01,1000506,1248895,2063394,11790003,Productivity Delay,EUR
PRJ00001,2026-09-01,865539,725955,1378973,11567416,Productivity Delay,EUR
PRJ00001,2026-10-01,670234,562614,900976,11360382,Productivity Delay,EUR
PRJ00001,2026-11-01,408392,407880,450797,11265845,Productivity Delay,EUR
PRJ00001,2026-12-01,73811,77531,77531,11261079,Productivity Delay,EUR
PRJ00002,2023-05-01,1773,2746,39780178,81219711,Scope Change,EUR
PRJ00002,2023-06-01,18623,14901,27024472,78487183,Scope Change,EUR
PRJ00002,2023-07-01,52245,60721,31605967,78483850,Scope Change,EUR
PRJ00002,2023-08-01,101368,89717,28069684,81297520,Scope Change,EUR
PRJ00002,2023-09-01,164719,80812,26596424,81998842,Scope Change,EUR
PRJ00002,2023-10-01,241027,171939,36089732,78825612,Scope Change,EUR
PRJ00002,2023-11-01,329019,336647,51321050,82554315,Scope Change,EUR
PRJ00002,2023-12-01,427425,545018,29775985,78512872,Scope Change,EUR
PRJ00002,2024-01-01,534972,675961,26740691,83085984,Scope Change,EUR
PRJ00002,2024-02-01,650388,448855,31544365,78421778,Scope Change,EUR
PRJ00002,2024-03-01,772401,924175,36999885,82026748,Scope Change,EUR
PRJ00002,2024-04-01,899739,1252919,32860671,79659424,Scope Change,EUR
PRJ00002,2024-05-01,1031132,1297073,46178345,82175544,Scope Change,EUR
PRJ00002,2024-06-01,1165306,1152012,45003961,75111396,Scope Change,EUR
PRJ00002,2024-07-01,1300989,1450355,36029347,77212156,Scope Change,EUR
PRJ00002,2024-08-01,1436911,1648065,28129879,81310491,Scope Change,EUR
PRJ00002,2024-09-01,1571799,2405302,38763484,82884291,Scope Change,EUR
PRJ00002,2024-10-01,1704380,2767932,36569367,79641561,Scope Change,EUR
PRJ00002,2024-11-01,1833385,2380881,42843601,79156470,Scope Change,EUR
PRJ00002,2024-12-01,1957539,2185501,36431534,77613102,Scope Change,EUR
PRJ00002,2025-01-01,2075572,2263268,29083308,76849224,Scope Change,EUR
PRJ00002,2025-02-01,2186212,2453733,31531201,76654184,Scope Change,EUR
PRJ00002,2025-03-01,2288187,2661752,32567650,79400101,Scope Change,EUR
PRJ00002,2025-04-01,2380225,2239783,29989439,78647219,Scope Change,EUR
PRJ00002,2025-05-01,2461053,4199012,20601300,78339189,Scope Change,EUR
PRJ00002,2025-06-01,2529401,2165376,24096728,78107016,Scope Change,EUR
PRJ00002,2025-07-01,2583996,3873488,18613247,79346996,Scope Change,EUR
PRJ00002,2025-08-01,2623567,1109902,23780383,75546045,Scope Change,EUR
PRJ00002,2025-09-01,2646841,2687045,16953253,77294072,Scope Change,EUR
PRJ00002,2025-10-01,2652547,2640981,16284425,76796532,Scope Change,EUR
PRJ00002,2025-11-01,2639413,3089285,13732923,76835668,Scope Change,EUR
PRJ00002,2025-12-01,2606166,2574338,13033154,76108926,Scope Change,EUR
PRJ00002,2026-01-01,2551536,3895907,15378692,76468636,Scope Change,EUR
PRJ00002,2026-02-01,2474250,2537017,9979274,76885794,Scope Change,EUR
PRJ00002,2026-03-01,2373036,1858034,8820319,74815973,Scope Change,EUR
PRJ00002,2026-04-01,2246622,1802874,8392512,74271243,Scope Change,EUR
PRJ00002,2026-05-01,2093738,1998123,5603667,73210140,Scope Change,EUR
PRJ00002,2026-06-01,1913109,2531226,5458461,73487383,Scope Change,EUR
PRJ00002,2026-07-01,1703466,2348904,5742152,73841922,Scope Change,EUR
PRJ00002,2026-08-01,1463535,1067933,2529084,73346179,Scope Change,EUR
PRJ00002,2026-09-01,1192046,1017489,2175356,72816810,Scope Change,EUR
PRJ00002,2026-10-01,887726,685157,1065343,72485171,Scope Change,EUR
PRJ00002,2026-11-01,549303,555940,689078,72364693,Scope Change,EUR
PRJ00002,2026-12-01,175506,245057,245057,72393154,Scope Change,EUR
PRJ00003,2025-07-01,1166,1308,11671927,18866777,Scope Change,EUR
PRJ00003,2025-08-01,50262,48244,7465427,19321690,Scope Change,EUR
PRJ00003,2025-09-01,161767,155549,10056789,19646489,Scope Change,EUR
PRJ00003,2025-10-01,322138,304213,12057049,19044107,Scope Change,EUR
PRJ00003,2025-11-01,517835,533020,8651392,19452053,Scope Change,EUR
PRJ00003,2025-12-01,735317,811905,7330265,18974443,Scope Change,EUR
PRJ00003,2026-01-01,961044,1079765,7559062,18276407,Scope Change,EUR
PRJ00003,2026-02-01,1181474,1446046,8710854,18371458,Scope Change,EUR
PRJ00003,2026-03-01,1383067,1205941,10294360,18961771,Scope Change,EUR
PRJ00003,2026-04-01,1552281,1705672,7424126,18718628,Scope Change,EUR
PRJ00003,2026-05-01,1675576,1928067,5942896,19016724,Scope Change,EUR
PRJ00003,2026-06-01,1739410,1376083,5868151,18305788,Scope Change,EUR
PRJ00003,2026-07-01,1730244,1989591,4694444,17939829,Scope Change,EUR
PRJ00003,2026-08-01,1634535,2288854,4707638,18599151,Scope Change,EUR
PRJ00003,2026-09-01,1438743,1705011,3171274,18687892,Scope Change,EUR
PRJ00003,2026-10-01,1129328,1280508,1675425,18763516,Scope Change,EUR
PRJ00003,2026-11-01,692747,741173,821232,18729702,Scope Change,EUR
PRJ00003,2026-12-01,115461,129964,129964,18730915,Scope Change,EUR
PRJ00004,2023-05-01,634,664,10046408,26294122,Design Rework,EUR
PRJ00004,2023-06-01,6876,6575,18191637,24900558,Design Rework,EUR
PRJ00004,2023-07-01,19393,20839,13218884,25520419,Design Rework,EUR
PRJ00004,2023-08-01,37696,36072,13382366,27012089,Design Rework,EUR
PRJ00004,2023-09-01,61296,51654,16916193,25817497,Design Rework,EUR
PRJ00004,2023-10-01,89707,102778,10026652,26983667,Design Rework,EUR
PRJ00004,2023-11-01,122440,196367,14863270,25485339,Design Rework,EUR
PRJ00004,2023-12-01,159007,167057,15975594,24760793,Design Rework,EUR
PRJ00004,2024-01-01,198920,185025,10637945,25576567,Design Rework,EUR
PRJ00004,2024-02-01,241692,224667,14520983,25807007,Design Rework,EUR
PRJ00004,2024-03-01,286833,358549,17241527,25783915,Design Rework,EUR
PRJ00004,2024-04-01,333857,300838,11748345,25385282,Design Rework,EUR
PRJ00004,2024-05-01,382275,504721,16706274,25184536,Design Rework,EUR
PRJ00004,2024-06-01,431599,325751,11540681,25346287,Design Rework,EUR
PRJ00004,2024-07-01,481342,532866,13904475,25754168,Design Rework,EUR
PRJ00004,2024-08-01,531015,636029,15914629,25040176,Design Rework,EUR
PRJ00004,2024-09-01,580130,705930,12214974,26307688,Design Rework,EUR
PRJ00004,2024-10-01,628200,755933,12686550,25880582,Design Rework,EUR
PRJ00004,2024-11-01,674735,756538,13554323,25608348,Design Rework,EUR
PRJ00004,2024-12-01,719250,929401,9796004,25308358,Design Rework,EUR
PRJ00004,2025-01-01,761254,669249,12130511,26244165,Design Rework,EUR
PRJ00004,2025-02-01,800261,756999,9896437,26282529,Design Rework,EUR
PRJ00004,2025-03-01,835783,829409,9753368,24322960,Design Rework,EUR
PRJ00004,2025-04-01,867330,1175862,7025310,25667310,Design Rework,EUR
PRJ00004,2025-05-01,894417,1037335,9945152,26171320,Design Rework,EUR
PRJ00004,2025-06-01,916554,1101092,6547659,25943245,Design Rework,EUR
PRJ00004,2025-07-01,933253,966389,8818370,25063309,Design Rework,EUR
PRJ00004,2025-08-01,944027,1158620,7969841,25609292,Design Rework,EUR
PRJ00004,2025-09-01,948387,731284,5162724,25040325,Design Rework,EUR
PRJ00004,2025-10-01,945846,937564,6473953,24980195,Design Rework,EUR
PRJ00004,2025-11-01,935915,962244,6307418,25150718,Design Rework,EUR
PRJ00004,2025-12-01,918107,898502,3570999,25103437,Design Rework,EUR
PRJ00004,2026-01-01,891934,899180,3486664,24792172,Design Rework,EUR
PRJ00004,2026-02-01,856907,1007144,3726979,24926535,Design Rework,EUR
PRJ00004,2026-03-01,812539,906719,2856280,24982743,Design Rework,EUR
PRJ00004,2026-04-01,758341,985770,2474410,24911517,Design Rework,EUR
PRJ00004,2026-05-01,693826,463603,1688641,24664261,Design Rework,EUR
PRJ00004,2026-06-01,618506,839088,1555621,24832834,Design Rework,EUR
PRJ00004,2026-07-01,531893,502567,983887,24763578,Design Rework,EUR
PRJ00004,2026-08-01,433498,573716,963933,24855797,Design Rework,EUR
PRJ00004,2026-09-01,322834,319471,480540,24816629,Design Rework,EUR
PRJ00004,2026-10-01,199413,227564,277338,24817254,Design Rework,EUR
PRJ00004,2026-11-01,62747,54126,54126,24801749,Design Rework,EUR
PRJ00005,2023-03-01,2150,2847,35593633,71804250,Inflation/Materials,EUR
PRJ00005,2023-04-01,28969,32319,49447183,71641214,Inflation/Materials,EUR
PRJ00005,2023-05-01,84382,92305,30431728,71906401,Inflation/Materials,EUR
PRJ00005,2023-06-01,165758,166535,37977841,68461819,Inflation/Materials,EUR
PRJ00005,2023-07-01,270471,289393,48553696,70255937,Inflation/Materials,EUR
PRJ00005,2023-08-01,395890,368872,45795864,74229040,Inflation/Materials,EUR
PRJ00005,2023-09-01,539388,599780,45130828,71434293,Inflation/Materials,EUR
PRJ00005,2023-10-01,698336,615596,30388059,70118209,Inflation/Materials,EUR
PRJ00005,2023-11-01,870105,805280,41878873,73060871,Inflation/Materials,EUR
PRJ00005,2023-12-01,1052067,1036020,26778293,71532702,Inflation/Materials,EUR
PRJ00005,2024-01-01,1241593,1514805,50092114,74256685,Inflation/Materials,EUR
PRJ00005,2024-02-01,1436054,1354489,47163903,72163470,Inflation/Materials,EUR
PRJ00005,2024-03-01,1632822,1788545,41322441,70171213,Inflation/Materials,EUR
PRJ00005,2024-04-01,1829268,1539042,31583535,72969138,Inflation/Materials,EUR
PRJ00005,2024-05-01,2022763,2149449,31669566,69632922,Inflation/Materials,EUR
PRJ00005,2024-06-01,2210680,2749928,36786190,67757494,Inflation/Materials,EUR
PRJ00005,2024-07-01,2390389,2660567,29795078,72209594,Inflation/Materials,EUR
PRJ00005,2024-08-01,2559261,2150426,27263260,67743427,Inflation/Materials,EUR
PRJ00005,2024-09-01,2714668,2890068,21899954,71203708,Inflation/Materials,EUR
PRJ00005,2024-10-01,2853982,2884846,26486669,68311991,Inflation/Materials,EUR
PRJ00005,2024-11-01,2974573,3539730,32177260,69972316,Inflation/Materials,EUR
PRJ00005,2024-12-01,3073814,3225604,21177466,70789863,Inflation/Materials,EUR
PRJ00005,2025-01-01,3149075,2857303,25557404,71738545,Inflation/Materials,EUR
PRJ00005,2025-02-01,3197728,3343379,21884399,70069842,Inflation/Materials,EUR
PRJ00005,2025-03-01,3217144,3172761,14949530,69623827,Inflation/Materials,EUR
PRJ00005,2025-04-01,3204695,2663157,19759580,69802945,Inflation/Materials,EUR
PRJ00005,2025-05-01,3157752,3288893,14234856,69285002,Inflation/Materials,EUR
PRJ00005,2025-06-01,3073686,3259559,10906481,69571035,Inflation/Materials,EUR
PRJ00005,2025-07-01,2949869,3246097,9834900,69442296,Inflation/Materials,EUR
PRJ00005,2025-08-01,2783672,3250927,8183272,69849908,Inflation/Materials,EUR
PRJ00005,2025-09-01,2572466,2650260,6769503,69212859,Inflation/Materials,EUR
PRJ00005,2025-10-01,2313624,2084263,5035842,68702627,Inflation/Materials,EUR
PRJ00005,2025-11-01,2004515,1947008,4297045,68338413,Inflation/Materials,EUR
PRJ00005,2025-12-01,1642513,1737822,3119927,68081829,Inflation/Materials,EUR
PRJ00005,2026-01-01,1224987,1456281,2099353,68453955,Inflation/Materials,EUR
PRJ00005,2026-02-01,749309,794582,937200,68445319,Inflation/Materials,EUR
PRJ00005,2026-03-01,212852,222640,222640,68431376,Inflation/Materials,EUR
PRJ00006,2023-05-01,2899,3436,70231210,98073761,Risk Realised,EUR
PRJ00006,2023-06-01,39064,47482,39158174,105167801,Risk Realised,EUR
PRJ00006,2023-07-01,113784,133201,53650388,98571520,Risk Realised,EUR
PRJ00006,2023-08-01,223516,239904,48534532,96642967,Risk Realised,EUR
PRJ00006,2023-09-01,364715,498855,64405604,102163274,Risk Realised,EUR
PRJ00006,2023-10-01,533837,586499,48699154,101644953,Risk Realised,EUR
PRJ00006,2023-11-01,727336,809955,45534593,101347918,Risk Realised,EUR
PRJ00006,2023-12-01,941669,1194027,48172726,101095474,Risk Realised,EUR
PRJ00006,2024-01-01,1173291,1474307,57444642,95685991,Risk Realised,EUR
PRJ00006,2024-02-01,1418656,1655741,44085211,98688222,Risk Realised,EUR
PRJ00006,2024-03-01,1674222,1660355,47259581,98534831,Risk Realised,EUR
PRJ00006,2024-04-01,1936442,2134502,37729099,97163605,Risk Realised,EUR
PRJ00006,2024-05-01,2201773,2524115,42243257,97183483,Risk Realised,EUR
PRJ00006,2024-06-01,2466671,3213517,63395319,99512338,Risk Realised,EUR
PRJ00006,2024-07-01,2727589,3850055,44755438,99305878,Risk Realised,EUR
PRJ00006,2024-08-01,2980984,3054637,46816873,100095847,Risk Realised,EUR
PRJ00006,2024-09-01,3223312,3812985,53520219,102420806,Risk Realised,EUR
PRJ00006,2024-10-01,3451027,3455052,39687878,101595067,Risk Realised,EUR
PRJ00006,2024-11-01,3660586,3940216,36141156,100952708,Risk Realised,EUR
PRJ00006,2024-12-01,3848443,3830904,45704800,100894908,Risk Realised,EUR
PRJ00006,2025-01-01,4011054,5101846,45868011,102005642,Risk Realised,EUR
PRJ00006,2025-02-01,4144875,4625364,36831938,102260325,Risk Realised,EUR
PRJ00006,2025-03-01,4246360,4764353,31547479,101720534,Risk Realised,EUR
PRJ00006,2025-04-01,4311966,4723195,30289890,103320044,Risk Realised,EUR
PRJ00006,2025-05-01,4338148,4906517,24686691,99498054,Risk Realised,EUR
PRJ00006,2025-06-01,4321361,4903625,28046740,100130422,Risk Realised,EUR
PRJ00006,2025-07-01,4258060,4323266,22435867,101350755,Risk Realised,EUR
PRJ00006,2025-08-01,4144702,3755217,15501559,99084008,Risk Realised,EUR
PRJ00006,2025-09-01,3977741,3760204,13874012,98647564,Risk Realised,EUR
PRJ00006,2025-10-01,3753633,3432448,11055015,98218009,Risk Realised,EUR
PRJ00006,2025-11-01,3468834,3854726,8979844,97923018,Risk Realised,EUR
PRJ00006,2025-12-01,3119798,3122930,8493574,98754295,Risk Realised,EUR
PRJ00006,2026-01-01,2702982,3235013,6288464,98568634,Risk Realised,EUR
PRJ00006,2026-02-01,2214841,2472277,4098553,98448249,Risk Realised,EUR
PRJ00006,2026-03-01,1651830,1470028,2396562,97894035,Risk Realised,EUR
