MilestoneID,ProjectID,MilestoneName,MilestonePhase,BaselineDate,ForecastDate,ActualDate,MilestoneStatus,DelayReason,OwnerRole
MS00001_001,PRJ00001,Long-lead Equipment Ordered,Procurement,2025-05-30,2025-07-29,2025-07-21,Completed,,Consents Lead
MS00001_002,PRJ00001,Concept Design Complete,Design,2025-06-03,2025-08-01,2025-08-01,Completed,,Programme Controls
MS00001_003,PRJ00001,Concept Design Complete,Design,2025-06-05,2025-06-29,2025-06-26,Completed,,Stakeholder Manager
MS00001_004,PRJ00001,Concept Design Complete,Design,2025-06-05,2025-08-19,2025-08-17,Completed,,Consents Lead
MS00001_005,PRJ00001,Route / Solution Selection,Planning & Consents,2025-06-10,2025-11-09,2025-11-08,Completed,,Construction Manager
MS00001_006,PRJ00001,As-built Documentation Complete,Commissioning,2025-06-13,2025-07-20,,Late,Stakeholder/Community,PMO Lead
MS00001_007,PRJ00001,Environmental Surveys Complete,Planning & Consents,2025-07-09,2025-08-31,,Late,Stakeholder/Community,HSE Lead
MS00001_008,PRJ00001,Planning Approval,Planning & Consents,2025-07-20,2025-08-23,2025-08-21,Completed,,HSE Lead
MS00001_009,PRJ00001,Planning Approval,Planning & Consents,2025-08-03,2025-09-04,2025-09-06,Completed,,Construction Manager
MS00001_010,PRJ00001,Closeout & Benefits Review,Commissioning,2025-08-26,2025-12-10,,Late,Stakeholder/Community,Stakeholder Manager
MS00001_011,PRJ00001,Energisation,Commissioning,2025-09-13,2025-10-09,2025-10-10,Completed,,Commercial Manager
MS00001_012,PRJ00001,Detailed Design Complete,Design,2025-09-21,2025-10-24,2025-10-26,Completed,,Consents Lead
MS00001_013,PRJ00001,Tender Issued,Procurement,2025-09-25,2025-09-18,2025-09-15,Completed,,Programme Controls
MS00001_014,PRJ00001,Planning Submission,Planning & Consents,2025-10-01,2025-10-24,2025-11-01,Completed,,PMO Lead
MS00001_015,PRJ00001,Detailed Design Complete,Design,2025-10-16,2025-10-04,,Late,Stakeholder/Community,HSE Lead
MS00001_016,PRJ00001,Environmental Surveys Complete,Planning & Consents,2025-10-20,2026-01-01,2026-01-11,Completed,,Programme Controls
MS00001_017,PRJ00001,Testing & Commissioning Start,Commissioning,2025-11-09,2026-04-09,,Forecast,Stakeholder/Community,Commercial Manager
MS00001_018,PRJ00001,Stakeholder Engagement Plan,Planning & Consents,2025-12-06,2026-01-12,,Late,Stakeholder/Community,Engineering Manager
MS00001_019,PRJ00001,Contract Award,Procurement,2025-12-20,2025-12-10,2025-12-08,Completed,,Consents Lead
MS00001_020,PRJ00001,Planning Approval,Planning & Consents,2025-12-20,2026-03-12,,Forecast,Stakeholder/Community,Stakeholder Manager
MS00001_021,PRJ00001,Energisation,Commissioning,2026-01-22,2026-02-15,,Due,,Commercial Manager
MS00001_022,PRJ00001,Equipment Delivered,Procurement,2026-02-08,2026-05-16,,Due,,Consents Lead
MS00001_023,PRJ00001,Environmental Surveys Complete,Planning & Consents,2026-02-08,2026-03-20,,Due,,Programme Controls
MS00001_024,PRJ00001,Design Freeze,Design,2026-02-08,2026-03-07,,Due,,Engineering Manager
MS00001_025,PRJ00001,Environmental Surveys Complete,Planning & Consents,2026-03-18,2026-05-01,,Due,,Stakeholder Manager
MS00001_026,PRJ00001,Foundation Complete,Construction,2026-03-30,2026-06-15,,Due,,Programme Controls
MS00001_027,PRJ00001,Detailed Design Complete,Design,2026-04-22,2026-06-03,,Due,,Commercial Manager
MS00001_028,PRJ00001,Foundation Complete,Construction,2026-06-25,2026-07-27,2026-01-18,Completed,,Construction Manager
MS00001_029,PRJ00001,Foundation Complete,Construction,2026-07-31,2026-09-12,,Due,,Commercial Manager
MS00001_030,PRJ00001,Detailed Design Complete,Design,2026-09-06,2026-09-10,,Due,,Construction Manager
MS00001_031,PRJ00001,Design Freeze,Design,2026-09-20,2026-11-23,,Due,,PMO Lead
MS00001_032,PRJ00001,Closeout & Benefits Review,Commissioning,2026-10-11,2026-09-29,,Due,,Consents Lead
MS00001_033,PRJ00001,Tender Issued,Procurement,2026-10-26,2026-11-29,,Due,,Engineering Manager
MS00001_034,PRJ00001,Civils Complete,Construction,2026-11-13,2027-01-29,,Due,,HSE Lead
MS00001_035,PRJ00001,Foundation Complete,Construction,2026-11-15,2027-01-15,2026-01-18,Completed,,PMO Lead
MS00001_036,PRJ00001,Testing & Commissioning Start,Commissioning,2026-11-18,2027-01-28,,Due,,Engineering Manager
MS00001_037,PRJ00001,Long-lead Equipment Ordered,Procurement,2027-01-04,2027-02-21,2026-01-18,Completed,,Commercial Manager
MS00001_038,PRJ00001,Testing & Commissioning Start,Commissioning,2027-01-08,2027-04-10,,Due,,Construction Manager
MS00001_039,PRJ00001,Contract Award,Procurement,2027-01-17,2027-04-10,,Due,,PMO Lead
MS00001_040,PRJ00001,Long-lead Equipment Ordered,Procurement,2027-01-31,2027-04-07,,Due,,PMO Lead
MS00001_041,PRJ00001,Long-lead Equipment Ordered,Procurement,2027-02-04,2027-04-28,,Due,,Consents Lead
MS00001_042,PRJ00001,Civils Complete,Construction,2027-02-08,2027-04-26,,Due,,HSE Lead
MS00001_043,PRJ00001,Construction Start,Construction,2027-02-21,2027-03-27,2026-01-18,Completed,,Construction Manager
MS00001_044,PRJ00001,Stakeholder Engagement Plan,Planning & Consents,2027-03-12,2027-03-14,,Due,,Programme Controls
MS00001_045,PRJ00001,Testing & Commissioning Start,Commissioning,2027-03-23,2027-05-27,2026-01-18,Completed,,Stakeholder Manager
MS00001_046,PRJ00001,Secondary / Protection Installed,Construction,2027-04-13,2027-06-22,,Due,,Commercial Manager
MS00001_047,PRJ00001,Planning Submission,Planning & Consents,2027-06-09,2027-09-06,,Due,,Programme Controls
MS00001_048,PRJ00001,Closeout & Benefits Review,Commissioning,2027-06-18,2027-07-04,,Due,,Stakeholder Manager
MS00001_049,PRJ00001,Foundation Complete,Construction,2027-06-28,2027-07-15,2026-01-18,Completed,,Engineering Manager
MS00001_050,PRJ00001,Planning Submission,Planning & Consents,2027-07-25,2027-09-30,,Due,,PMO Lead
MS00001_051,PRJ00001,Long-lead Equipment Ordered,Procurement,2027-08-07,2027-09-23,,Due,,Programme Controls
MS00001_052,PRJ00001,Construction Start,Construction,2027-09-13,2027-09-01,2026-01-18,Completed,,Construction Manager
MS00001_053,PRJ00001,Concept Design Complete,Design,2027-10-29,2028-01-01,2026-01-18,Completed,,Programme Controls
MS00001_054,PRJ00001,As-built Documentation Complete,Commissioning,2027-11-07,2027-10-26,2026-01-18,Completed,,Construction Manager
MS00001_055,PRJ00001,Contract Award,Procurement,2027-11-08,2027-11-24,,Due,,Consents Lead
MS00001_056,PRJ00001,Environmental Surveys Complete,Planning & Consents,2027-11-30,2028-03-08,2026-01-18,Completed,,PMO Lead
MS00002_001,PRJ00002,Environmental Surveys Complete,Planning & Consents,2023-07-09,2023-08-26,2023-08-22,Completed,,HSE Lead
MS00002_002,PRJ00002,Environmental Surveys Complete,Planning & Consents,2023-08-07,2023-11-12,2023-11-13,Completed,,Programme Controls
MS00002_003,PRJ00002,Route / Solution Selection,Planning & Consents,2023-09-16,2023-09-04,2023-09-19,Completed,,Engineering Manager
MS00002_004,PRJ00002,Design Freeze,Design,2023-11-10,2023-12-28,2023-12-26,Completed,,Consents Lead
MS00002_005,PRJ00002,Environmental Surveys Complete,Planning & Consents,2024-01-23,2024-03-12,2024-03-07,Completed,,Engineering Manager
MS00002_006,PRJ00002,Stakeholder Engagement Plan,Planning & Consents,2024-02-04,2024-02-28,2024-03-01,Completed,,Construction Manager
MS00002_007,PRJ00002,Contract Award,Procurement,2024-02-18,2024-07-03,2024-07-15,Completed,,PMO Lead
MS00002_008,PRJ00002,Environmental Surveys Complete,Planning & Consents,2024-02-25,2024-04-13,,Late,Design Rework,Consents Lead
MS00002_009,PRJ00002,Planning Approval,Planning & Consents,2024-03-23,2024-04-27,2024-05-03,Completed,,Commercial Manager
MS00002_010,PRJ00002,Long-lead Equipment Ordered,Procurement,2024-04-08,2024-05-29,2024-05-29,Completed,,Engineering Manager
MS00002_011,PRJ00002,Stakeholder Engagement Plan,Planning & Consents,2024-05-22,2024-05-10,2024-05-01,Completed,,HSE Lead
MS00002_012,PRJ00002,Closeout & Benefits Review,Commissioning,2024-05-26,2024-06-18,,Late,Design Rework,Stakeholder Manager
MS00002_013,PRJ00002,Planning Approval,Planning & Consents,2024-05-27,2024-08-20,2024-08-16,Completed,,Engineering Manager
MS00002_014,PRJ00002,Construction Start,Construction,2024-08-26,2024-09-22,2024-09-21,Completed,,Consents Lead
