ProjectID,ProjectName,City,Region,Workstream,ProjectType,Complexity,CurrentPhase,RAGStatus,BaselineStartDate,BaselineEndDate,BaselineBudgetEUR,PrimaryDelayReason,PrimaryCostDriver,Sponsor,ProjectManager,ReadinessGateTargetDate
PRJ-00001,Interconnector Onshore Works – Tallaght – Reinforcement 1,Tallaght,Dublin,Interconnector Onshore Works,Reinforcement,Medium,Construction,Green,09-10-2025,01-07-2027,77406117,Land Access/Wayleaves,Scope Change,Programme Sponsor A,PM - Nolan,17-05-2026
prj00002,Substation Build – Waterford – New Build 2,Waterford,South,Substation Build,New Build,Low,Planning & Consents,Green,04-02-2024,19-05-2027,66829194,Contractor Capacity,Risk Realised,Interconnector Sponsor,PM - Walsh,30-03-2025
PRJ00003,Substation Build – Mullingar – Reinforcement 3,Mullingar,Midlands,Substation Build,Reinforcement,High,Construction,Amber,10-05-2023,23-02-2026,87841812,Procurement/Long Lead,Inflation/Materials,Infrastructure Director,PM - Ryan,30-04-2024
 PRJ00004 ,Interconnector Onshore Works – Wexford – New Build 4,Wexford,East,Interconnector Onshore Works,New Build,Low,Construction,Amber,16-09-2023,04-12-2025,82418787,Stakeholder/Community,Risk Realised,Interconnector Sponsor,PM - Murphy,25-06-2024
 PRJ00005 ,Underground Cable – Bray – New Build 5,Bray,East,Underground Cable,New Build,Low,Construction,Green,15-08-2024,01-06-2027,59328038,Stakeholder/Community,Contractor Claims,Interconnector Sponsor,PM - O'Rourke,06-08-2025
PRJ00006,Reactive Compensation – Galway – New Build 6,Galway,West,Reactive Compensation,New Build,Low,Planning & Consents,Amber,04-09-2023,19-08-2026,15578597,Permits/Consents,Inflation/Materials,Interconnector Sponsor,PM - Murphy,16-09-2024
PRJ_00007,Overhead Line – Ballina – New Build 7,Ballina,West,Overhead Line,New Build,High,Commissioning,Green,13-10-2025,21-11-2029,63422943,Design Rework,Design Rework,Onshore Delivery Lead,PM - O'Rourke,22-03-2027
PRJ 00008,Interconnector Onshore Works – Tallaght – New Build 8,Tallaght,Dublin,Interconnector Onshore Works,New Build,High,Planning & Consents,Green,16-12-2025,24-04-2030,89014138,Permits/Consents,Contractor Claims,Programme Sponsor B,PM - Murphy,25-06-2027
PRJ00009,Interconnector Onshore Works – Waterford – New Build 9,Waterford,South,Interconnector Onshore Works,New Build,High,Construction,Green,15-11-2024,29-03-2028,113987957,Contractor Capacity,Scope Change,Onshore Delivery Lead,PM - Byrne,19-01-2026
PRJ00010 ,Underground Cable – Dundalk – Upgrade 10,Dundalk,East,Underground Cable,Upgrade,High,Concept,Green,03-09-2025,19-06-2028,80484909,Permits/Consents,Inflation/Materials,Programme Sponsor B,PM - Keane,25-08-2026
 PRJ00011 ,Interconnector Onshore Works – Letterkenny – New Build 11,Letterkenny,Northwest,Interconnector Onshore Works,New Build,High,Construction,Red,03-12-2024,16-02-2028,94000853,Permits/Consents,Scope Change,Onshore Delivery Lead,PM - O'Rourke,16-01-2026
prj00012,Overhead Line – Ballina – Upgrade 12,Ballina,West,Overhead Line,Upgrade,High,Design,Amber,17-03-2024,02-11-2026,60624791,Outage Window,Risk Realised,Programme Sponsor B,PM - O'Rourke,16-02-2025
PRJ-00013,Overhead Line – Waterford – Reinforcement 13,Waterford,South,Overhead Line,Reinforcement,Medium,Design,Green,20-05-2025,06-11-2027,53021235,Stakeholder/Community,Risk Realised,Infrastructure Director,PM - Ryan,31-03-2026
prj00014,Grid Automation – Clonmel – New Build 14,Clonmel,South,Grid Automation,New Build,Medium,Construction,Green,28-07-2025,14-03-2028,13913849,Procurement/Long Lead,Scope Change,Onshore Delivery Lead,PM - Fitzgerald,29-06-2026
PRJ 00015,Underground Cable – Portlaoise – Upgrade 15,Portlaoise,Midlands,Underground Cable,Upgrade,High,Design,Green,13-05-2024,27-07-2027,81794148,Permits/Consents,Inflation/Materials,Onshore Delivery Lead,PM - Byrne,26-06-2025
PRJ-00016,Substation Upgrade – Ennis – Reinforcement 16,Ennis,West,Substation Upgrade,Reinforcement,Medium,Procurement,Green,10-09-2025,26-06-2028,25325261,Land Access/Wayleaves,Design Rework,Infrastructure Director,PM - Murphy,01-09-2026
PRJ_00017,Overhead Line – Athlone – Upgrade 17,Athlone,Midlands,Overhead Line,Upgrade,Low,Construction,Amber,18-06-2023,03-04-2026,33791974,Land Access/Wayleaves,Scope Change,Onshore Delivery Lead,PM - Fitzgerald,08-06-2024
 PRJ00018 ,Substation Build – Bray – Upgrade 18,Bray,East,Substation Build,Upgrade,High,Concept,Green,06-03-2023,21-10-2025,60199154,Land Access/Wayleaves,Scope Change,Programme Sponsor B,PM - Walsh,05-02-2024
prj00019,Grid Automation – Drogheda – Upgrade 19,Drogheda,East,Grid Automation,Upgrade,Low,Construction,Amber,13-02-2025,08-07-2026,12213085,Permits/Consents,Scope Change,Programme Sponsor B,PM - Nolan,10-08-2025
PRJ00020,Underground Cable – Blanchardstown – New Build 20,Blanchardstown,Dublin,Underground Cable,New Build,Medium,Commissioning,Green,05-05-2023,22-08-2025,57601280,Land Access/Wayleaves,Risk Realised,Programme Sponsor B,PM - Ryan,22-02-2024
PRJ00021,Substation Build – Portlaoise – Upgrade 21,Portlaoise,Midlands,Substation Build,Upgrade,High,Procurement,Amber,19-05-2023,02-02-2026,61633907,Permits/Consents,Contractor Claims,Interconnector Sponsor,PM - Kelly,29-04-2024
 PRJ00022 ,Interconnector Onshore Works – Navan – Reinforcement 22,Navan,East,Interconnector Onshore Works,Reinforcement,Medium,Construction,Green,11-10-2023,23-04-2027,92090683,Permits/Consents,Scope Change,Onshore Delivery Lead,PM - Hayes,04-01-2025
PRJ_00023,Interconnector Onshore Works – Waterford – Reinforcement 23,Waterford,South,Interconnector Onshore Works,Reinforcement,Medium,Design,Green,23-03-2026,05-06-2029,82100042,Stakeholder/Community,Scope Change,Programme Sponsor B,PM - Keane,06-05-2027
prj00024,Reactive Compensation – Dublin – Upgrade 24,Dublin,Dublin,Reactive Compensation,Upgrade,Medium,Procurement,Green,05-12-2025,23-05-2028,19399436,Design Rework,Scope Change,Infrastructure Director,PM - O'Rourke,16-10-2026
PRJ 00025,Overhead Line – Athlone – New Build 25,Athlone,Midlands,Overhead Line,New Build,Medium,Design,Red,05-08-2025,16-01-2029,46043083,Design Rework,Contractor Claims,Programme Sponsor A,PM - Hayes,20-10-2026
PRJ00026,Underground Cable – Bray – Upgrade 26,Bray,East,Underground Cable,Upgrade,Medium,Design,Amber,02-05-2026,22-01-2028,57185748,Design Rework,Scope Change,Infrastructure Director,PM - Kelly,08-12-2026
PRJ00027,Substation Build – Blanchardstown – Reinforcement 27,Blanchardstown,Dublin,Substation Build,Reinforcement,Medium,Construction,Green,15-12-2024,31-10-2027,53555411,Land Access/Wayleaves,Productivity Delay,Infrastructure Director,PM - Walsh,17-12-2025
PRJ00028,Substation Build – Cork – Reinforcement 28,Cork,South,Substation Build,Reinforcement,Medium,Concept,Green,01-07-2023,15-07-2026,68475845,Design Rework,FX/Imports,Programme Sponsor B,PM - Hayes,23-07-2024
PRJ00029,Substation Upgrade – Navan – New Build 29,Navan,East,Substation Upgrade,New Build,High,Commissioning,Green,18-05-2023,30-08-2026,36884533,Stakeholder/Community,Productivity Delay,Programme Sponsor B,PM - Hayes,11-07-2024
PRJ00030,Overhead Line – Dundalk – Reinforcement 30,Dundalk,East,Overhead Line,Reinforcement,High,Construction,Amber,24-07-2024,11-03-2027,58311075,Outage Window,Scope Change,Onshore Delivery Lead,PM - Fitzgerald,25-06-2025
prj00031,Reactive Compensation – Blanchardstown – Upgrade 31,Blanchardstown,Dublin,Reactive Compensation,Upgrade,Medium,Design,Red,09-08-2024,01-05-2026,20631107,Procurement/Long Lead,Scope Change,Programme Sponsor B,PM - Keane,17-03-2025
Prj00032,Substation Build – Castlebar – Reinforcement 32,Castlebar,West,Substation Build,Reinforcement,Medium,Construction,Amber,22-07-2024,10-10-2026,73420735,Stakeholder/Community,Inflation/Materials,Onshore Delivery Lead,PM - Murphy,01-05-2025
PRJ_00033,Substation Build – Galway – New Build 33,Galway,West,Substation Build,New Build,High,Planning & Consents,Amber,11-07-2023,21-04-2027,58376267,Design Rework,Contractor Claims,Programme Sponsor A,PM - Fitzgerald,04-11-2024
PRJ00034,Reactive Compensation – Limerick – Reinforcement 34,Limerick,South,Reactive Compensation,Reinforcement,Medium,Construction,Green,01-11-2023,16-09-2026,17913804,Permits/Consents,Scope Change,Programme Sponsor B,PM - Murphy,02-11-2024
Prj00035,Interconnector Onshore Works – Bray – Upgrade 35,Bray,East,Interconnector Onshore Works,Upgrade,Medium,Construction,Amber,06-05-2026,22-10-2028,78898355,Contractor Capacity,Scope Change,Infrastructure Director,PM - Nolan,17-03-2027
PRJ_00036,Grid Automation – Letterkenny – New Build 36,Letterkenny,Northwest,Grid Automation,New Build,High,Construction,Green,12-03-2024,26-04-2027,16779705,Land Access/Wayleaves,Design Rework,Onshore Delivery Lead,PM - Fitzgerald,14-04-2025
prj00037,Reactive Compensation – Cork – Upgrade 37,Cork,South,Reactive Compensation,Upgrade,High,Planning & Consents,Amber,03-06-2024,19-04-2027,27363880,Permits/Consents,Contractor Claims,Onshore Delivery Lead,PM - Nolan,05-06-2025
 PRJ00038 ,Interconnector Onshore Works – Navan – New Build 38,Navan,East,Interconnector Onshore Works,New Build,High,Planning & Consents,Green,31-05-2025,14-06-2028,131238789,Procurement/Long Lead,Design Rework,Programme Sponsor A,PM - Byrne,23-06-2026
PRJ-00039,Underground Cable – Ballina – Upgrade 39,Ballina,West,Underground Cable,Upgrade,Low,Construction,Amber,30-03-2025,19-04-2027,60119112,Contractor Capacity,Inflation/Materials,Infrastructure Director,PM - Ryan,17-12-2025
prj00040,Grid Automation – Dundalk – Upgrade 40,Dundalk,East,Grid Automation,Upgrade,Medium,Design,Green,11-04-2025,02-03-2027,14095022,Permits/Consents,Scope Change,Programme Sponsor A,PM - Hayes,08-12-2025
PRJ00041,Overhead Line – Kilkenny – Upgrade 41,Kilkenny,South,Overhead Line,Upgrade,Low,Commissioning,Green,25-05-2023,13-07-2025,39199674,Land Access/Wayleaves,Productivity Delay,Programme Sponsor B,PM - Murphy,22-02-2024
Prj00042,Overhead Line – Dundalk – Reinforcement 42,Dundalk,East,Overhead Line,Reinforcement,Medium,Construction,Green,20-03-2024,04-05-2027,60188195,Land Access/Wayleaves,Inflation/Materials,Onshore Delivery Lead,PM - Walsh,22-04-2025
 PRJ00043 ,Interconnector Onshore Works – Drogheda – Upgrade 43,Drogheda,East,Interconnector Onshore Works,Upgrade,Medium,Construction,Green,18-06-2024,04-05-2027,62422372,Land Access/Wayleaves,Inflation/Materials,Onshore Delivery Lead,PM - Nolan,20-06-2025
PRJ-00044,Overhead Line – Kilkenny – New Build 44,Kilkenny,South,Overhead Line,New Build,Low,Construction,Green,18-07-2024,05-11-2026,48283180,Design Rework,Risk Realised,Infrastructure Director,PM - Byrne,07-05-2025
prj00045,Reactive Compensation – Blanchardstown – Upgrade 45,Blanchardstown,Dublin,Reactive Compensation,Upgrade,High,Construction,Amber,24-07-2023,05-12-2026,22696409,Land Access/Wayleaves,FX/Imports,Programme Sponsor A,PM - Walsh,26-09-2024
PRJ00046,Overhead Line – Tullamore – Upgrade 46,Tullamore,Midlands,Overhead Line,Upgrade,Medium,Procurement,Amber,04-05-2023,17-06-2026,41201558,Contractor Capacity,Design Rework,Programme Sponsor A,PM - Walsh,05-06-2024
PRJ-00047,Substation Build – Cork – New Build 47,Cork,South,Substation Build,New Build,Medium,Construction,Green,19-12-2024,07-02-2027,63009954,Stakeholder/Community,Risk Realised,Programme Sponsor A,PM - Fitzgerald,18-09-2025
Prj00048,Substation Build – Tallaght – New Build 48,Tallaght,Dublin,Substation Build,New Build,High,Planning & Consents,Amber,23-10-2025,09-07-2028,92958671,Outage Window,Productivity Delay,Programme Sponsor A,PM - Ryan,04-10-2026
PRJ00049,Overhead Line – Tralee – Upgrade 49,Tralee,South,Overhead Line,Upgrade,Low,Commissioning,Amber,09-05-2026,25-10-2028,27990774,Permits/Consents,Scope Change,Programme Sponsor B,PM - Fitzgerald,20-03-2027
PRJ-00050,Reactive Compensation – Longford – Reinforcement 50,Longford,Midlands,Reactive Compensation,Reinforcement,Medium,Construction,Red,20-02-2023,09-06-2025,14438336,Land Access/Wayleaves,Risk Realised,Programme Sponsor B,PM - Keane,10-12-2023
 PRJ00051 ,Reactive Compensation – Limerick – Reinforcement 51,Limerick,South,Reactive Compensation,Reinforcement,High,Planning & Consents,Amber,28-06-2024,14-05-2027,30983178,Land Access/Wayleaves,Design Rework,Infrastructure Director,PM - O'Rourke,30-06-2025
PRJ-00052,Substation Upgrade – Wexford – New Build 52,Wexford,East,Substation Upgrade,New Build,Medium,Design,Red,07-02-2026,23-12-2028,32428473,Land Access/Wayleaves,Scope Change,Programme Sponsor A,PM - Hayes,09-02-2027
 PRJ00053 ,Substation Build – Navan – New Build 53,Navan,East,Substation Build,New Build,High,Construction,Red,02-06-2025,15-08-2028,99083293,Land Access/Wayleaves,FX/Imports,Programme Sponsor A,PM - Kelly,16-07-2026
Prj00054,Underground Cable – Tullamore – Reinforcement 54,Tullamore,Midlands,Underground Cable,Reinforcement,Medium,Construction,Red,11-10-2023,29-11-2025,59428162,Design Rework,Risk Realised,Onshore Delivery Lead,PM - Hayes,10-07-2024
PRJ-00055,Substation Upgrade – Mullingar – Upgrade 55,Mullingar,Midlands,Substation Upgrade,Upgrade,Low,Design,Red,21-04-2023,06-11-2025,23209511,Procurement/Long Lead,Inflation/Materials,Onshore Delivery Lead,PM - Walsh,11-03-2024
PRJ 00056,Substation Upgrade – Kilkenny – Reinforcement 56,Kilkenny,South,Substation Upgrade,Reinforcement,Medium,Design,Red,07-10-2023,24-01-2026,25176027,Permits/Consents,Contractor Claims,Infrastructure Director,PM - Byrne,26-07-2024
PRJ00057,Underground Cable – Cork – Upgrade 57,Cork,South,Underground Cable,Upgrade,Medium,Construction,Green,08-11-2023,27-12-2025,49824827,Permits/Consents,Inflation/Materials,Programme Sponsor B,PM - Nolan,07-08-2024
prj00058,Overhead Line – Navan – New Build 58,Navan,East,Overhead Line,New Build,High,Construction,Green,30-03-2026,11-08-2029,51829027,Land Access/Wayleaves,Contractor Claims,Infrastructure Director,PM - Byrne,03-06-2027
PRJ-00059,Overhead Line – Dublin – Upgrade 59,Dublin,Dublin,Overhead Line,Upgrade,High,Planning & Consents,Red,06-06-2023,18-10-2026,70607110,Design Rework,Inflation/Materials,Programme Sponsor A,PM - Byrne,09-08-2024
PRJ00060 ,Substation Build – Galway – Upgrade 60,Galway,West,Substation Build,Upgrade,High,Procurement,Green,05-12-2023,24-03-2026,59118527,Permits/Consents,Scope Change,Interconnector Sponsor,PM - Murphy,23-09-2024
PRJ00061,Substation Upgrade – Portlaoise – Reinforcement 61,Portlaoise,Midlands,Substation Upgrade,Reinforcement,Medium,Construction,Amber,12-08-2023,22-02-2027,35331839,Permits/Consents,Risk Realised,Programme Sponsor B,PM - Ryan,05-11-2024
Prj00062,Grid Automation – Dundalk – New Build 62,Dundalk,East,Grid Automation,New Build,High,Construction,Red,20-07-2025,28-08-2029,13539130,Contractor Capacity,Productivity Delay,Infrastructure Director,PM - Kelly,27-12-2026
PRJ00063,Overhead Line – Tullamore – New Build 63,Tullamore,Midlands,Overhead Line,New Build,High,Construction,Amber,23-07-2023,03-05-2027,54302575,Permits/Consents,FX/Imports,Programme Sponsor B,PM - Kelly,16-11-2024
PRJ00064 ,Interconnector Onshore Works – Swords – Upgrade 64,Swords,Dublin,Interconnector Onshore Works,Upgrade,Medium,Construction,Green,31-08-2023,17-04-2026,85108009,Design Rework,Productivity Delay,Programme Sponsor A,PM - Murphy,01-08-2024
PRJ00065 ,Grid Automation – Ballina – New Build 65,Ballina,West,Grid Automation,New Build,Low,Construction,Amber,15-03-2025,30-12-2027,13718894,Permits/Consents,Inflation/Materials,Programme Sponsor B,PM - Hayes,06-03-2026
PRJ00066,Substation Upgrade – Donegal Town – Upgrade 66,Donegal Town,Northwest,Substation Upgrade,Upgrade,Low,Construction,Amber,04-06-2024,26-11-2025,22968770,Contractor Capacity,Design Rework,Onshore Delivery Lead,PM - Hayes,10-12-2024
PRJ00067,Overhead Line – Dublin – Reinforcement 67,Dublin,Dublin,Overhead Line,Reinforcement,High,Design,Green,31-07-2024,14-09-2027,49322545,Land Access/Wayleaves,Scope Change,Interconnector Sponsor,PM - Kelly,02-09-2025
Prj00068,Underground Cable – Bray – Upgrade 68,Bray,East,Underground Cable,Upgrade,High,Planning & Consents,Amber,18-06-2025,03-02-2028,76637648,Permits/Consents,FX/Imports,Programme Sponsor A,PM - Kelly,20-05-2026
prj00069,Substation Build – Tralee – Upgrade 69,Tralee,South,Substation Build,Upgrade,Medium,Planning & Consents,Amber,21-12-2024,10-01-2027,50699181,Design Rework,Inflation/Materials,Onshore Delivery Lead,PM - Keane,09-09-2025
PRJ00070,Substation Build – Dundalk – Reinforcement 70,Dundalk,East,Substation Build,Reinforcement,High,Construction,Red,22-01-2026,08-09-2028,83074538,Permits/Consents,Inflation/Materials,Onshore Delivery Lead,PM - Ryan,24-12-2026
 PRJ00071 ,Grid Automation – Cork – Upgrade 71,Cork,South,Grid Automation,Upgrade,Low,Concept,Green,02-02-2025,25-10-2026,8946801,Design Rework,Productivity Delay,Infrastructure Director,PM - Ryan,10-09-2025
PRJ-00072,Grid Automation – Navan – Reinforcement 72,Navan,East,Grid Automation,Reinforcement,Medium,Construction,Red,05-06-2023,24-06-2025,16898065,Outage Window,Inflation/Materials,Infrastructure Director,PM - Keane,22-02-2024
prj00073,Overhead Line – Clonmel – Upgrade 73,Clonmel,South,Overhead Line,Upgrade,Low,Planning & Consents,Green,22-02-2024,09-09-2026,41248893,Permits/Consents,Contractor Claims,Infrastructure Director,PM - O'Rourke,12-01-2025
prj00074,Reactive Compensation – Letterkenny – Upgrade 74,Letterkenny,Northwest,Reactive Compensation,Upgrade,High,Construction,Amber,02-10-2023,13-07-2027,29469764,Procurement/Long Lead,Inflation/Materials,Infrastructure Director,PM - Keane,26-01-2025
 PRJ00075 ,Overhead Line – Ballina – New Build 75,Ballina,West,Overhead Line,New Build,Low,Design,Red,28-11-2025,17-01-2028,45322491,Design Rework,Scope Change,Programme Sponsor B,PM - Murphy,28-08-2026
PRJ00076,Reactive Compensation – Limerick – New Build 76,Limerick,South,Reactive Compensation,New Build,Medium,Planning & Consents,Green,19-06-2024,04-06-2027,21093391,Land Access/Wayleaves,Productivity Delay,Programme Sponsor A,PM - Kelly,02-07-2025
 PRJ00077 ,Substation Upgrade – Tallaght – Upgrade 77,Tallaght,Dublin,Substation Upgrade,Upgrade,Medium,Design,Green,10-10-2024,29-11-2026,18861582,Contractor Capacity,Contractor Claims,Onshore Delivery Lead,PM - Keane,10-07-2025
 PRJ00078 ,Overhead Line – Letterkenny – New Build 78,Letterkenny,Northwest,Overhead Line,New Build,Medium,Concept,Red,20-09-2025,06-06-2028,56832424,Permits/Consents,Inflation/Materials,Programme Sponsor A,PM - Hayes,01-09-2026
Prj00079,Interconnector Onshore Works – Dublin – New Build 79,Dublin,Dublin,Interconnector Onshore Works,New Build,High,Design,Green,26-12-2025,05-03-2030,122124815,Land Access/Wayleaves,Inflation/Materials,Interconnector Sponsor,PM - Keane,14-06-2027
prj00080,Grid Automation – Dundalk – Upgrade 80,Dundalk,East,Grid Automation,Upgrade,Medium,Planning & Consents,Green,08-01-2025,28-05-2027,13120689,Land Access/Wayleaves,Scope Change,Onshore Delivery Lead,PM - O'Rourke,08-11-2025
 PRJ00081 ,Substation Upgrade – Drogheda – Upgrade 81,Drogheda,East,Substation Upgrade,Upgrade,High,Commissioning,Red,13-09-2025,29-06-2028,25934658,Design Rework,Inflation/Materials,Onshore Delivery Lead,PM - Ryan,04-09-2026
prj00082,Interconnector Onshore Works – Kilkenny – New Build 82,Kilkenny,South,Interconnector Onshore Works,New Build,Medium,Procurement,Amber,23-03-2023,05-06-2026,77790940,Contractor Capacity,Design Rework,Infrastructure Director,PM - Nolan,05-05-2024
PRJ-00083,Overhead Line – Mullingar – New Build 83,Mullingar,Midlands,Overhead Line,New Build,Medium,Procurement,Red,25-05-2025,09-02-2028,50014446,Design Rework,Contractor Claims,Infrastructure Director,PM - Fitzgerald,06-05-2026
PRJ00084,Reactive Compensation – Swords – Upgrade 84,Swords,Dublin,Reactive Compensation,Upgrade,Low,Planning & Consents,Amber,06-09-2024,23-02-2027,17020904,Stakeholder/Community,Scope Change,Infrastructure Director,PM - Hayes,18-07-2025
