ProjectID,ReadinessArea,Status,Score,DueDate,LastUpdatedDate,OwnerRole
PRJ00001,Permits & Consents,In Progress,0.43,2026-02-16,2026-01-18,Construction Manager
PRJ00001,Land Access,At Risk,0.35,2026-03-23,2026-01-18,Consents Lead
PRJ00001,Design Maturity,At Risk,0.28,2026-02-07,2026-01-18,Stakeholder Manager
PRJ00001,Procurement,At Risk,0.29,2026-02-20,2026-01-18,HSE Lead
PRJ00001,Contractor Mobilisation,At Risk,0.56,2026-03-24,2026-01-18,Programme Controls
PRJ00001,Outage Plan,In Progress,0.42,2026-04-07,2026-01-18,Programme Controls
PRJ00001,Stakeholder Engagement,Complete,1.0,2026-03-27,2026-01-18,Construction Manager
PRJ00001,Safety & Compliance,In Progress,0.35,2026-02-19,2026-01-13,Stakeholder Manager
PRJ00001,Environmental,In Progress,0.64,2026-03-09,2026-01-18,Stakeholder Manager
PRJ00001,Resource Plan,Complete,1.0,2026-02-20,2026-01-12,Engineering Manager
PRJ00002,Permits & Consents,At Risk,0.28,2024-09-03,2024-08-04,Programme Controls
PRJ00002,Land Access,Complete,1.0,2024-10-03,2024-09-14,Construction Manager
PRJ00002,Design Maturity,Complete,1.0,2024-10-08,2024-09-06,Consents Lead
PRJ00002,Procurement,In Progress,0.46,2024-09-22,2024-09-15,Construction Manager
PRJ00002,Contractor Mobilisation,Not Started,0.0,2024-09-28,2024-10-02,PMO Lead
PRJ00002,Outage Plan,At Risk,0.17,2024-09-01,2024-09-14,PMO Lead
PRJ00002,Stakeholder Engagement,Not Started,0.0,2024-08-13,2024-07-06,Engineering Manager
PRJ00002,Safety & Compliance,At Risk,0.27,2024-08-18,2024-08-09,Engineering Manager
PRJ00002,Environmental,In Progress,0.34,2024-10-07,2024-10-17,Commercial Manager
PRJ00002,Resource Plan,Complete,1.0,2024-08-22,2024-09-08,Consents Lead
PRJ00003,Permits & Consents,In Progress,0.75,2026-08-05,2026-01-18,Construction Manager
PRJ00003,Land Access,Complete,1.0,2026-08-15,2026-01-18,Consents Lead
PRJ00003,Design Maturity,Complete,1.0,2026-09-26,2026-01-18,Stakeholder Manager
PRJ00003,Procurement,In Progress,0.63,2026-08-27,2026-01-18,Stakeholder Manager
