RecordType,RecordID,ProjectID,Category,Title,Probability,ImpactEUR,ExposureEUR,SeverityBand,Status,OwnerRole,CreatedDate,LastUpdatedDate,TargetCloseDate,ClosedDate,RootCause,Notes
Risk,RSK000001,PRJ00001,Stakeholder,Stakeholder risk – Stakeholder/Community,0.51,12094355,6213928,Medium,Mitigating,HSE Lead,2025-04-11,2025-05-05,,,,
Risk,RSK000002,PRJ00001,Regulatory,Regulatory risk – Stakeholder/Community,0.43,5084429,2191575,Medium,Mitigating,Consents Lead,2023-04-19,2023-07-05,,,,
Risk,RSK000003,PRJ00001,Cost,Cost risk – Stakeholder/Community,0.48,7245782,3472161,Medium,Closed,Stakeholder Manager,2024-07-20,2024-10-03,,2024-10-09,,
Risk,RSK000004,PRJ00001,Safety,Safety risk – Stakeholder/Community,0.48,5925619,2832709,Medium,Mitigating,PMO Lead,2025-03-19,2025-04-26,,,,
Risk,RSK000005,PRJ00001,Safety,Safety risk – Stakeholder/Community,0.63,6579903,4131665,Medium,Open,Construction Manager,2023-03-06,2023-04-05,,,,
Risk,RSK000006,PRJ00001,Schedule,Schedule risk – Stakeholder/Community,0.67,1409023,943651,Low,Mitigating,Engineering Manager,2023-12-02,2024-03-26,,,,
Risk,RSK000007,PRJ00001,Safety,Safety risk – Stakeholder/Community,0.42,6698705,2836297,Medium,Closed,PMO Lead,2025-12-21,2026-01-18,,2026-01-18,,
Risk,RSK000008,PRJ00001,Technical,Technical risk – Stakeholder/Community,0.43,20500055,8779671,High,Open,Consents Lead,2024-04-05,2024-04-27,,,,
Risk,RSK000009,PRJ00001,Safety,Safety risk – Stakeholder/Community,0.57,3689569,2109756,Medium,Open,Consents Lead,2024-04-14,2024-08-03,,,,
Risk,RSK000010,PRJ00001,Regulatory,Regulatory risk – Stakeholder/Community,0.22,2885112,638953,Low,Closed,Commercial Manager,2023-07-19,2023-11-03,,2023-12-05,,
Risk,RSK000011,PRJ00001,Schedule,Schedule risk – Stakeholder/Community,0.38,6446238,2447132,Medium,Mitigating,Stakeholder Manager,2023-11-05,2023-12-02,,,,
Risk,RSK000012,PRJ00001,Schedule,Schedule risk – Stakeholder/Community,0.43,8153518,3534879,Medium,Open,PMO Lead,2025-06-11,2025-07-01,,,,
Issue,ISS000001,PRJ00001,Data/Reporting,Data/Reporting issue – Outage Window,,,,Minor,Open,Commercial Manager,2023-06-23,2023-08-03,2023-10-07,,Outage Window,
Issue,ISS000002,PRJ00001,Governance,Governance issue – Weather/Events,,,,Minor,Closed,Engineering Manager,2023-08-27,2023-09-12,2024-03-20,2024-02-05,Weather/Events,
Issue,ISS000003,PRJ00001,Governance,Governance issue – Inflation/Materials,,,,Minor,Closed,Commercial Manager,2023-09-24,2023-10-19,2024-03-11,2024-04-13,Inflation/Materials,
Issue,ISS000004,PRJ00001,Construction,Construction issue – Weather/Events,,,,Minor,Blocked,Stakeholder Manager,2025-12-22,2026-01-18,2026-05-12,,Weather/Events,
Issue,ISS000005,PRJ00001,Construction,Construction issue – Inflation/Materials,,,,Minor,Closed,Construction Manager,2025-09-20,2025-11-15,2026-01-16,2026-01-18,Inflation/Materials,
Issue,ISS000006,PRJ00001,Stakeholder,Stakeholder issue – Contractor Capacity,,,,Major,Blocked,PMO Lead,2024-09-05,2024-09-18,2024-12-16,,Contractor Capacity,
Issue,ISS000007,PRJ00001,Data/Reporting,Data/Reporting issue – Land Access/Wayleaves,,,,Minor,Closed,Engineering Manager,2025-07-14,2025-09-10,2025-10-30,2025-12-20,Land Access/Wayleaves,
Issue,ISS000008,PRJ00001,Data/Reporting,Data/Reporting issue – Procurement/Long Lead,,,,Major,Closed,Stakeholder Manager,2025-09-18,2025-09-29,2025-10-26,2025-11-16,Procurement/Long Lead,
Issue,ISS000009,PRJ00001,Procurement,Procurement issue – Scope Change,,,,Minor,Closed,Construction Manager,2024-01-25,2024-04-19,2024-02-16,2024-02-29,Scope Change,
Issue,ISS000010,PRJ00001,Construction,Construction issue – Permits/Consents,,,,Minor,Open,PMO Lead,2023-12-09,2024-01-05,2024-03-22,,Permits/Consents,
Risk,RSK000013,PRJ00002,Cost,Cost risk – Design Rework,0.76,3445418,2632547,Medium,Open,Commercial Manager,2024-07-28,2024-12-30,,,,
Risk,RSK000014,PRJ00002,Schedule,Schedule risk – Design Rework,0.37,6020142,2219783,Medium,Mitigating,HSE Lead,2024-01-26,2024-05-25,,,,
